@relation encuesta

@attribute estatura real
@attribute edadencuesta real
@attribute genero {F,M}
@attribute estadocivil {casado,viudo,divorciado,soltero}
@attribute fuma {SI,NO}
@attribute multivitaminico {SI,NO}
@attribute edadmuerte {joven,anciano,mayor,muyMayor}

@data
170,35,F,divorciado,SI,NO,mayor
210,45,M,soltero,NO,SI,anciano
190,40,M,soltero,NO,SI,muyMayor
150,30,F,casado,SI,NO,joven
190,40,M,casado,SI,SI,muyMayor
190,40,M,divorciado,NO,NO,muyMayor
170,35,M,viudo,NO,SI,mayor
170,35,M,casado,SI,NO,mayor
190,40,M,divorciado,NO,SI,muyMayor
190,40,M,viudo,SI,SI,muyMayor
170,35,M,soltero,SI,NO,mayor
150,30,M,divorciado,SI,NO,joven
190,40,F,casado,SI,NO,muyMayor
150,30,F,soltero,NO,NO,joven
170,35,F,divorciado,SI,NO,mayor
190,40,M,soltero,NO,NO,muyMayor
190,40,M,casado,NO,SI,mayor
210,45,M,divorciado,NO,NO,anciano
190,40,M,casado,SI,SI,muyMayor
190,40,F,casado,NO,SI,muyMayor
150,30,M,casado,NO,NO,joven
150,30,F,casado,SI,SI,joven
210,45,F,divorciado,SI,NO,anciano
170,35,M,soltero,NO,SI,mayor
190,40,M,viudo,SI,SI,muyMayor
190,40,M,casado,SI,SI,muyMayor
190,40,F,viudo,SI,SI,muyMayor
190,40,F,divorciado,NO,NO,muyMayor
170,35,F,soltero,NO,SI,joven
190,40,F,soltero,NO,NO,muyMayor
170,35,M,soltero,NO,SI,joven
210,45,M,soltero,SI,NO,anciano
210,45,M,divorciado,SI,SI,anciano
170,35,F,divorciado,NO,SI,mayor
170,35,M,viudo,SI,SI,mayor
190,40,F,divorciado,SI,NO,muyMayor
170,35,F,soltero,SI,NO,mayor
170,35,F,casado,SI,NO,mayor
170,35,M,divorciado,NO,NO,mayor
170,35,M,soltero,NO,NO,mayor
150,30,F,divorciado,NO,SI,joven
170,35,M,casado,SI,SI,joven
170,35,F,viudo,NO,SI,joven
190,40,M,soltero,SI,NO,anciano
190,40,M,divorciado,NO,SI,muyMayor
170,35,M,soltero,NO,SI,joven
210,45,F,viudo,NO,NO,anciano
170,35,M,casado,SI,NO,mayor
190,40,M,soltero,SI,SI,muyMayor
170,35,F,viudo,NO,SI,joven
170,35,M,soltero,NO,SI,mayor
170,35,F,viudo,NO,SI,mayor
170,35,M,divorciado,NO,NO,mayor
190,40,F,soltero,NO,SI,muyMayor
210,45,F,casado,NO,NO,anciano
190,40,M,casado,SI,SI,muyMayor
190,40,F,casado,SI,NO,muyMayor
210,45,M,divorciado,NO,SI,anciano
170,35,F,divorciado,SI,NO,joven
190,40,M,casado,SI,SI,muyMayor
190,40,M,viudo,NO,NO,anciano
190,40,F,soltero,NO,NO,muyMayor
190,40,F,casado,SI,SI,muyMayor
210,45,M,viudo,NO,NO,anciano
190,40,F,viudo,SI,NO,mayor
170,35,F,divorciado,SI,SI,mayor
150,30,F,viudo,SI,SI,joven
190,40,M,viudo,SI,NO,anciano
170,35,F,soltero,NO,NO,joven
190,40,M,viudo,SI,NO,muyMayor
190,40,F,casado,NO,SI,mayor
150,30,F,divorciado,SI,SI,joven
170,35,M,divorciado,SI,NO,mayor
150,30,F,casado,NO,NO,joven
210,45,M,viudo,SI,SI,anciano
170,35,M,casado,SI,NO,joven
190,40,F,viudo,SI,SI,muyMayor
150,30,F,soltero,SI,SI,joven
190,40,F,soltero,SI,NO,muyMayor
190,40,M,divorciado,NO,NO,muyMayor
190,40,M,viudo,SI,NO,muyMayor
150,30,M,viudo,SI,NO,joven
170,35,M,soltero,SI,NO,joven
210,45,M,casado,NO,SI,anciano
190,40,M,casado,SI,SI,muyMayor
190,40,M,casado,NO,SI,muyMayor
150,30,F,casado,NO,NO,joven
190,40,F,soltero,NO,NO,muyMayor
190,40,M,soltero,NO,NO,muyMayor
190,40,F,divorciado,NO,SI,muyMayor
150,30,F,divorciado,NO,NO,joven
170,35,M,viudo,NO,NO,joven
190,40,F,viudo,NO,SI,mayor
170,35,F,viudo,SI,NO,joven
170,35,M,viudo,NO,NO,mayor
170,35,M,casado,SI,SI,mayor
170,35,M,casado,SI,NO,joven
150,30,F,divorciado,NO,NO,joven
190,40,M,viudo,NO,NO,muyMayor
190,40,F,casado,NO,NO,muyMayor
170,35,F,casado,SI,SI,joven
190,40,M,viudo,NO,SI,muyMayor
190,40,M,casado,SI,SI,muyMayor
170,35,M,viudo,NO,NO,joven
210,45,M,viudo,NO,SI,anciano
190,40,M,soltero,NO,SI,muyMayor
190,40,M,viudo,NO,SI,muyMayor
150,30,F,soltero,NO,SI,joven
150,30,M,casado,NO,NO,joven
170,35,M,divorciado,NO,SI,mayor
170,35,M,divorciado,NO,NO,joven
170,35,M,casado,SI,NO,mayor
210,45,M,soltero,SI,NO,anciano
170,35,M,divorciado,SI,NO,mayor
210,45,M,soltero,SI,SI,anciano
210,45,F,casado,SI,NO,anciano
170,35,F,soltero,SI,SI,mayor
170,35,F,casado,NO,SI,mayor
170,35,F,casado,NO,SI,mayor
150,30,F,divorciado,SI,SI,joven
190,40,M,viudo,NO,SI,muyMayor
210,45,F,soltero,SI,SI,anciano
210,45,M,viudo,NO,NO,anciano
170,35,M,soltero,NO,SI,mayor
170,35,F,viudo,NO,NO,mayor
170,35,M,casado,NO,SI,mayor
150,30,M,divorciado,SI,NO,joven
190,40,M,divorciado,NO,SI,mayor
210,45,M,soltero,NO,NO,anciano
170,35,M,soltero,SI,SI,joven
190,40,M,soltero,SI,SI,muyMayor
210,45,M,viudo,NO,NO,anciano
170,35,M,viudo,NO,SI,joven
170,35,F,viudo,NO,NO,joven
210,45,M,casado,SI,NO,anciano
150,30,M,divorciado,SI,NO,joven
170,35,M,casado,NO,SI,mayor
190,40,F,divorciado,SI,SI,muyMayor
190,40,M,casado,SI,SI,muyMayor
170,35,F,viudo,NO,NO,mayor
170,35,M,soltero,SI,NO,mayor
170,35,M,soltero,NO,NO,joven
150,30,F,casado,SI,SI,joven
190,40,F,soltero,NO,SI,muyMayor
170,35,M,casado,SI,NO,joven
170,35,M,viudo,NO,SI,mayor
210,45,F,divorciado,NO,NO,anciano
170,35,M,soltero,SI,NO,mayor
210,45,M,casado,NO,SI,anciano
190,40,F,soltero,SI,NO,muyMayor
190,40,M,divorciado,NO,NO,muyMayor
150,30,F,viudo,NO,SI,joven
190,40,F,soltero,SI,SI,muyMayor
190,40,M,casado,SI,SI,muyMayor
190,40,M,casado,NO,NO,muyMayor
170,35,F,soltero,SI,NO,joven
150,30,M,casado,SI,NO,joven
150,30,F,divorciado,NO,NO,joven
210,45,F,casado,SI,SI,anciano
170,35,F,divorciado,SI,SI,joven
190,40,F,viudo,NO,NO,anciano
210,45,F,casado,SI,SI,anciano
190,40,M,divorciado,SI,SI,muyMayor
190,40,M,soltero,SI,NO,muyMayor
170,35,M,divorciado,SI,NO,mayor
170,35,F,casado,SI,NO,joven
170,35,M,viudo,NO,SI,mayor
170,35,M,casado,SI,NO,mayor
150,30,F,soltero,SI,SI,joven
170,35,F,divorciado,NO,NO,mayor
190,40,F,viudo,NO,SI,mayor
170,35,F,soltero,SI,SI,mayor
190,40,F,soltero,NO,SI,muyMayor
190,40,F,soltero,NO,NO,muyMayor
210,45,F,casado,SI,SI,anciano
190,40,M,casado,NO,NO,muyMayor
190,40,F,viudo,SI,SI,muyMayor
210,45,M,soltero,NO,SI,anciano
190,40,F,soltero,SI,SI,anciano
190,40,M,divorciado,NO,NO,muyMayor
170,35,M,divorciado,SI,NO,mayor
190,40,F,divorciado,SI,NO,muyMayor
210,45,M,soltero,NO,SI,anciano
190,40,F,viudo,NO,NO,muyMayor
190,40,M,casado,NO,SI,muyMayor
170,35,F,casado,SI,SI,joven
190,40,M,viudo,SI,SI,muyMayor
170,35,M,viudo,SI,SI,mayor
150,30,M,viudo,SI,NO,joven
170,35,F,casado,SI,SI,joven
190,40,M,casado,NO,SI,muyMayor
170,35,F,soltero,SI,NO,mayor
190,40,M,viudo,NO,SI,muyMayor
170,35,F,soltero,NO,NO,mayor
190,40,F,casado,NO,NO,muyMayor
170,35,M,viudo,NO,SI,joven
170,35,M,casado,SI,NO,mayor
210,45,F,divorciado,SI,SI,anciano
190,40,F,casado,SI,SI,muyMayor
170,35,F,divorciado,NO,SI,joven
190,40,M,viudo,SI,SI,muyMayor
190,40,F,divorciado,SI,NO,mayor
190,40,F,divorciado,SI,NO,muyMayor
150,30,F,soltero,SI,SI,joven
170,35,M,casado,NO,SI,joven
190,40,M,divorciado,NO,SI,muyMayor
190,40,M,casado,SI,NO,muyMayor
170,35,M,casado,SI,SI,mayor
150,30,M,casado,NO,SI,joven
150,30,F,viudo,SI,SI,joven
210,45,F,viudo,SI,SI,anciano
170,35,F,viudo,SI,SI,mayor
170,35,M,soltero,SI,NO,joven
150,30,F,divorciado,NO,NO,joven
170,35,M,viudo,SI,SI,mayor
210,45,M,casado,NO,SI,anciano
150,30,F,viudo,NO,NO,joven
170,35,F,soltero,NO,NO,joven
210,45,F,viudo,SI,NO,anciano
170,35,M,soltero,SI,SI,mayor
150,30,M,divorciado,SI,SI,joven
150,30,F,viudo,SI,SI,joven
190,40,M,divorciado,SI,SI,muyMayor
170,35,F,divorciado,SI,NO,mayor
190,40,M,casado,NO,NO,muyMayor
170,35,F,viudo,NO,SI,joven
190,40,M,soltero,NO,NO,muyMayor
170,35,F,casado,SI,NO,mayor
190,40,M,casado,SI,SI,muyMayor
150,30,M,divorciado,SI,SI,joven
170,35,M,soltero,NO,SI,joven
190,40,M,divorciado,NO,SI,muyMayor
190,40,M,soltero,SI,NO,mayor
170,35,M,soltero,SI,NO,mayor
190,40,F,divorciado,NO,SI,muyMayor
170,35,M,viudo,SI,NO,mayor
190,40,M,divorciado,SI,NO,muyMayor
170,35,F,soltero,SI,NO,mayor
190,40,F,viudo,NO,NO,muyMayor
170,35,M,viudo,SI,SI,mayor
190,40,M,casado,NO,SI,muyMayor
190,40,F,casado,NO,SI,muyMayor
150,30,F,viudo,NO,NO,joven
190,40,M,divorciado,SI,SI,muyMayor
150,30,F,divorciado,NO,NO,joven
150,30,M,divorciado,SI,SI,joven
210,45,F,divorciado,NO,SI,anciano
190,40,F,viudo,NO,SI,muyMayor
170,35,F,divorciado,SI,NO,mayor
190,40,F,divorciado,NO,SI,anciano
150,30,M,viudo,NO,SI,joven
210,45,F,soltero,NO,NO,anciano
150,30,M,divorciado,NO,SI,joven
190,40,M,soltero,NO,SI,mayor
190,40,M,soltero,NO,SI,anciano
190,40,F,divorciado,SI,NO,muyMayor
190,40,M,divorciado,NO,SI,muyMayor
190,40,M,soltero,NO,SI,muyMayor
210,45,M,casado,NO,SI,anciano
210,45,M,divorciado,NO,NO,anciano
150,30,F,divorciado,SI,SI,joven
210,45,F,casado,SI,SI,anciano
190,40,M,soltero,SI,SI,muyMayor
190,40,F,casado,NO,SI,anciano
170,35,M,casado,SI,SI,mayor
190,40,F,casado,NO,NO,muyMayor
210,45,F,divorciado,SI,SI,anciano
150,30,M,soltero,NO,SI,joven
170,35,M,casado,SI,NO,joven
190,40,F,soltero,SI,NO,muyMayor
210,45,M,casado,SI,SI,anciano
170,35,F,casado,NO,NO,joven
170,35,F,casado,NO,NO,joven
150,30,F,divorciado,SI,SI,joven
170,35,M,soltero,NO,NO,joven
190,40,M,casado,NO,SI,muyMayor
210,45,M,divorciado,NO,SI,anciano
190,40,M,soltero,NO,NO,muyMayor
190,40,M,viudo,SI,NO,mayor
150,30,F,viudo,NO,NO,joven
190,40,M,casado,SI,NO,muyMayor
150,30,F,divorciado,SI,SI,joven
170,35,M,soltero,NO,SI,joven
210,45,F,viudo,NO,NO,anciano
170,35,M,viudo,NO,SI,joven
190,40,F,soltero,NO,SI,mayor
210,45,F,divorciado,SI,SI,anciano
190,40,M,casado,SI,SI,muyMayor
210,45,F,casado,SI,SI,anciano
190,40,F,casado,SI,NO,muyMayor
170,35,M,divorciado,SI,NO,joven
150,30,M,divorciado,NO,SI,joven
170,35,F,soltero,SI,SI,mayor
170,35,F,viudo,SI,NO,mayor
170,35,M,casado,NO,NO,mayor
170,35,F,divorciado,SI,NO,mayor
170,35,F,viudo,SI,NO,mayor
190,40,F,casado,NO,NO,muyMayor
170,35,M,soltero,NO,SI,joven
170,35,M,casado,SI,SI,mayor
210,45,F,soltero,SI,SI,anciano
170,35,F,soltero,NO,NO,mayor
150,30,M,soltero,NO,SI,joven
170,35,M,casado,NO,SI,mayor
210,45,M,divorciado,SI,SI,anciano
210,45,F,casado,SI,SI,anciano
190,40,M,divorciado,SI,SI,mayor
170,35,M,divorciado,NO,NO,joven
190,40,M,divorciado,SI,NO,anciano
210,45,M,casado,SI,NO,anciano
170,35,F,soltero,NO,NO,joven
150,30,M,divorciado,SI,SI,joven
170,35,F,casado,SI,NO,joven
190,40,M,divorciado,NO,NO,muyMayor
190,40,M,divorciado,NO,SI,muyMayor
190,40,F,casado,SI,NO,muyMayor
170,35,F,soltero,SI,NO,mayor
150,30,M,viudo,NO,NO,joven
170,35,M,divorciado,SI,NO,joven
170,35,M,divorciado,NO,NO,mayor
170,35,M,casado,NO,SI,joven
170,35,F,soltero,SI,SI,mayor
170,35,F,soltero,SI,SI,mayor
210,45,M,soltero,NO,NO,anciano
210,45,F,viudo,NO,SI,anciano
170,35,F,viudo,SI,SI,mayor
150,30,F,viudo,SI,NO,joven
190,40,M,viudo,SI,NO,muyMayor
170,35,F,casado,NO,NO,mayor
170,35,F,soltero,NO,NO,joven
170,35,M,divorciado,SI,SI,mayor
170,35,M,soltero,SI,SI,mayor
190,40,M,soltero,NO,SI,muyMayor
190,40,M,divorciado,SI,SI,muyMayor
170,35,F,soltero,SI,NO,joven
170,35,M,soltero,SI,SI,mayor
190,40,F,soltero,SI,NO,muyMayor
170,35,M,soltero,NO,NO,mayor
210,45,M,soltero,NO,SI,anciano
170,35,M,divorciado,NO,NO,joven
210,45,M,viudo,NO,SI,anciano
190,40,M,casado,SI,SI,muyMayor
210,45,M,divorciado,NO,NO,anciano
190,40,M,soltero,SI,SI,mayor
190,40,F,viudo,NO,SI,muyMayor
150,30,M,soltero,SI,SI,joven
210,45,F,soltero,SI,SI,anciano
190,40,M,divorciado,NO,SI,muyMayor
190,40,F,divorciado,SI,NO,muyMayor
170,35,M,soltero,NO,SI,joven
170,35,M,divorciado,SI,NO,mayor
170,35,M,viudo,SI,NO,mayor
190,40,M,casado,SI,SI,mayor
190,40,F,casado,NO,SI,muyMayor
210,45,F,viudo,NO,NO,anciano
170,35,F,divorciado,NO,NO,joven
190,40,M,divorciado,NO,SI,muyMayor
210,45,M,divorciado,NO,SI,anciano
210,45,F,casado,NO,NO,anciano
170,35,F,divorciado,NO,NO,mayor
170,35,M,casado,SI,NO,mayor
170,35,M,casado,NO,NO,mayor
210,45,M,casado,NO,NO,anciano
190,40,F,divorciado,SI,SI,anciano
190,40,M,soltero,NO,NO,muyMayor
190,40,F,viudo,SI,SI,muyMayor
190,40,M,soltero,SI,NO,muyMayor
190,40,M,divorciado,NO,SI,muyMayor
190,40,F,viudo,NO,SI,muyMayor
170,35,F,casado,NO,SI,mayor
170,35,F,viudo,SI,NO,mayor
210,45,F,soltero,NO,NO,anciano
150,30,F,casado,NO,SI,joven
210,45,F,viudo,SI,NO,anciano
190,40,M,casado,SI,SI,muyMayor
190,40,M,casado,NO,NO,muyMayor
170,35,F,casado,NO,NO,mayor
150,30,M,casado,NO,SI,joven
170,35,M,soltero,SI,NO,mayor
190,40,F,casado,SI,NO,muyMayor
150,30,F,casado,SI,NO,joven
150,30,F,casado,SI,NO,joven
190,40,F,viudo,SI,SI,muyMayor
170,35,M,divorciado,NO,SI,joven
210,45,M,divorciado,NO,NO,anciano
170,35,F,divorciado,SI,NO,mayor
170,35,M,divorciado,NO,NO,mayor
170,35,M,divorciado,NO,SI,joven
170,35,F,viudo,NO,NO,joven
210,45,M,soltero,SI,NO,anciano
190,40,F,soltero,SI,SI,muyMayor
210,45,M,soltero,SI,SI,anciano
190,40,F,casado,NO,NO,muyMayor
150,30,F,divorciado,SI,NO,joven
170,35,M,casado,SI,NO,mayor
210,45,M,viudo,NO,NO,anciano
170,35,M,divorciado,SI,NO,mayor
170,35,F,divorciado,NO,SI,joven
210,45,M,divorciado,NO,SI,anciano
190,40,M,viudo,SI,NO,anciano
170,35,M,viudo,NO,SI,mayor
210,45,F,casado,NO,SI,anciano
210,45,M,viudo,NO,NO,anciano
150,30,M,divorciado,NO,SI,joven
170,35,M,soltero,SI,SI,joven
210,45,M,casado,SI,NO,anciano
190,40,M,soltero,NO,SI,muyMayor
170,35,F,soltero,SI,SI,mayor
150,30,M,viudo,SI,NO,joven
170,35,M,casado,NO,NO,mayor
210,45,M,soltero,NO,SI,anciano
210,45,M,soltero,SI,SI,anciano
190,40,F,casado,NO,SI,muyMayor
170,35,M,soltero,SI,NO,mayor
170,35,F,casado,SI,SI,joven
190,40,F,soltero,SI,SI,muyMayor
170,35,F,soltero,NO,SI,mayor
210,45,M,divorciado,NO,SI,anciano
210,45,F,viudo,NO,NO,anciano
190,40,M,casado,NO,NO,muyMayor
210,45,M,soltero,NO,SI,anciano
190,40,F,casado,NO,NO,muyMayor
190,40,F,casado,NO,SI,muyMayor
190,40,M,casado,NO,SI,anciano
190,40,M,viudo,SI,SI,muyMayor
170,35,F,casado,SI,NO,mayor
150,30,F,casado,SI,NO,joven
190,40,M,viudo,SI,SI,muyMayor
170,35,F,soltero,SI,SI,mayor
170,35,F,casado,NO,SI,mayor
170,35,M,soltero,NO,NO,mayor
170,35,F,divorciado,NO,NO,mayor
190,40,F,viudo,NO,NO,mayor
170,35,F,soltero,NO,NO,joven
170,35,M,soltero,SI,SI,mayor
210,45,M,divorciado,SI,SI,anciano
170,35,M,viudo,SI,SI,mayor
170,35,M,casado,SI,SI,mayor
190,40,M,casado,SI,SI,muyMayor
190,40,F,divorciado,SI,SI,mayor
190,40,F,viudo,SI,NO,muyMayor
190,40,F,viudo,NO,SI,muyMayor
190,40,M,casado,SI,SI,muyMayor
210,45,M,casado,NO,SI,anciano
150,30,M,divorciado,NO,NO,joven
170,35,F,divorciado,NO,NO,joven
190,40,F,soltero,NO,SI,muyMayor
170,35,M,casado,NO,SI,mayor
210,45,M,viudo,SI,SI,anciano
190,40,M,soltero,SI,SI,anciano
190,40,M,soltero,SI,SI,muyMayor
190,40,M,viudo,SI,NO,muyMayor
190,40,F,divorciado,NO,SI,muyMayor
210,45,M,soltero,NO,NO,anciano
190,40,M,casado,SI,NO,muyMayor
170,35,F,soltero,NO,SI,mayor
150,30,M,casado,SI,NO,joven
170,35,F,viudo,NO,SI,joven
190,40,F,viudo,NO,SI,muyMayor
190,40,M,casado,SI,NO,anciano
190,40,M,viudo,SI,SI,mayor
210,45,M,divorciado,NO,NO,anciano
210,45,F,viudo,NO,NO,anciano
190,40,F,casado,SI,SI,muyMayor
190,40,F,soltero,SI,NO,muyMayor
210,45,M,casado,SI,SI,anciano
170,35,M,divorciado,NO,SI,joven
170,35,M,divorciado,NO,SI,mayor
190,40,F,soltero,NO,NO,muyMayor
170,35,M,soltero,NO,SI,mayor
190,40,M,divorciado,NO,SI,muyMayor
170,35,M,viudo,NO,NO,mayor
190,40,F,soltero,SI,NO,muyMayor
170,35,M,soltero,NO,SI,joven
170,35,F,viudo,SI,NO,mayor
170,35,F,casado,NO,SI,mayor
190,40,M,soltero,SI,SI,muyMayor
190,40,F,divorciado,SI,SI,muyMayor
170,35,F,viudo,NO,NO,mayor
210,45,M,casado,NO,NO,anciano
190,40,M,viudo,NO,NO,mayor
170,35,M,casado,SI,NO,mayor
170,35,F,divorciado,SI,NO,mayor
170,35,M,viudo,NO,SI,mayor
190,40,F,casado,SI,NO,muyMayor
190,40,M,viudo,SI,NO,anciano
190,40,M,viudo,NO,NO,anciano
170,35,F,viudo,NO,NO,mayor
170,35,M,soltero,NO,SI,mayor
190,40,M,soltero,NO,NO,muyMayor
170,35,F,casado,NO,SI,mayor
190,40,F,viudo,SI,NO,muyMayor
190,40,M,viudo,NO,NO,muyMayor
170,35,F,divorciado,NO,SI,joven
190,40,M,viudo,NO,SI,muyMayor
170,35,F,divorciado,SI,NO,mayor
190,40,F,viudo,SI,SI,muyMayor
170,35,F,divorciado,SI,SI,joven
210,45,F,soltero,SI,NO,anciano
170,35,F,soltero,SI,NO,joven
170,35,M,casado,SI,SI,joven
150,30,F,divorciado,NO,SI,joven
210,45,F,soltero,NO,NO,anciano
190,40,F,viudo,NO,SI,muyMayor
190,40,F,casado,NO,SI,muyMayor
170,35,M,casado,NO,NO,mayor
150,30,F,casado,NO,NO,joven
190,40,M,viudo,NO,SI,mayor
170,35,M,divorciado,NO,NO,mayor
190,40,M,divorciado,NO,SI,muyMayor
210,45,F,viudo,SI,SI,anciano
210,45,M,soltero,NO,SI,anciano
170,35,F,viudo,SI,SI,joven
170,35,M,casado,SI,SI,mayor
150,30,M,casado,NO,SI,joven
190,40,F,viudo,SI,NO,muyMayor
190,40,F,soltero,NO,SI,muyMayor
170,35,M,soltero,SI,NO,mayor
150,30,M,divorciado,SI,SI,joven
170,35,F,soltero,NO,NO,joven
210,45,M,viudo,SI,SI,anciano
190,40,F,viudo,SI,NO,muyMayor
170,35,M,soltero,NO,NO,joven
150,30,M,viudo,SI,NO,joven
210,45,M,soltero,NO,SI,anciano
150,30,F,casado,NO,NO,joven
170,35,M,soltero,NO,NO,mayor
190,40,F,divorciado,SI,NO,muyMayor
150,30,M,casado,NO,NO,joven
170,35,F,casado,NO,NO,joven
190,40,M,soltero,SI,NO,muyMayor
190,40,M,casado,NO,NO,muyMayor
190,40,M,viudo,SI,NO,muyMayor
170,35,M,divorciado,SI,SI,mayor
170,35,M,viudo,NO,SI,joven
190,40,F,divorciado,NO,SI,muyMayor
190,40,M,viudo,NO,SI,muyMayor
170,35,F,soltero,NO,SI,joven
210,45,F,casado,NO,SI,anciano
170,35,F,casado,NO,NO,joven
170,35,F,casado,SI,NO,joven
170,35,M,soltero,NO,SI,mayor
190,40,M,soltero,NO,NO,muyMayor
190,40,F,casado,NO,SI,muyMayor
150,30,M,casado,NO,SI,joven
170,35,F,viudo,SI,SI,joven
210,45,M,casado,SI,SI,anciano
190,40,F,casado,SI,NO,mayor
190,40,M,soltero,SI,SI,muyMayor
170,35,M,soltero,SI,NO,mayor
170,35,F,casado,SI,SI,mayor
170,35,F,soltero,NO,NO,mayor
190,40,F,soltero,SI,SI,mayor
170,35,M,divorciado,NO,NO,joven
170,35,F,soltero,SI,NO,joven
150,30,F,divorciado,NO,SI,joven
170,35,F,divorciado,SI,NO,joven
170,35,F,viudo,SI,SI,mayor
150,30,M,casado,NO,SI,joven
190,40,M,casado,SI,NO,muyMayor
170,35,F,casado,NO,NO,mayor
190,40,F,viudo,SI,SI,muyMayor
190,40,M,soltero,NO,SI,muyMayor
210,45,M,soltero,SI,NO,anciano
170,35,M,casado,NO,NO,mayor
170,35,M,divorciado,SI,SI,joven
170,35,M,viudo,NO,SI,mayor
170,35,F,viudo,NO,NO,mayor
190,40,M,divorciado,SI,SI,muyMayor
190,40,F,casado,SI,SI,muyMayor
210,45,F,casado,SI,NO,anciano
170,35,F,casado,SI,SI,mayor
150,30,M,casado,NO,SI,joven
190,40,M,casado,NO,NO,mayor
190,40,M,divorciado,NO,NO,mayor
190,40,M,casado,NO,NO,muyMayor
210,45,F,viudo,NO,NO,anciano
170,35,M,casado,SI,NO,mayor
210,45,F,casado,NO,NO,anciano
210,45,F,divorciado,NO,SI,anciano
190,40,F,divorciado,NO,NO,muyMayor
210,45,F,viudo,SI,SI,anciano
190,40,M,casado,NO,NO,muyMayor
170,35,F,viudo,NO,SI,mayor
170,35,F,casado,NO,SI,joven
170,35,M,viudo,NO,NO,mayor
150,30,F,casado,SI,SI,joven
190,40,F,soltero,NO,SI,muyMayor
190,40,F,soltero,NO,SI,muyMayor
170,35,F,soltero,NO,NO,mayor
210,45,F,soltero,NO,SI,anciano
150,30,M,divorciado,NO,SI,joven
190,40,F,divorciado,NO,NO,muyMayor
190,40,M,soltero,SI,SI,muyMayor
190,40,M,casado,NO,NO,muyMayor
190,40,M,viudo,SI,SI,muyMayor
210,45,M,casado,NO,NO,anciano
190,40,M,soltero,NO,SI,mayor
190,40,F,viudo,NO,SI,muyMayor
170,35,F,soltero,SI,SI,mayor
210,45,M,casado,NO,NO,anciano
190,40,M,divorciado,NO,NO,muyMayor
210,45,M,divorciado,NO,SI,anciano
170,35,F,casado,NO,SI,mayor
210,45,M,divorciado,SI,SI,anciano
170,35,F,casado,NO,NO,mayor
170,35,M,casado,SI,SI,mayor
190,40,F,soltero,SI,SI,muyMayor
190,40,M,divorciado,NO,SI,muyMayor
170,35,M,casado,SI,SI,mayor
210,45,F,viudo,SI,SI,anciano
210,45,F,divorciado,NO,NO,anciano
210,45,M,soltero,NO,SI,anciano
150,30,M,casado,NO,NO,joven
150,30,M,divorciado,NO,NO,joven
190,40,M,casado,SI,SI,muyMayor
190,40,F,viudo,NO,NO,anciano
170,35,F,viudo,NO,NO,joven
170,35,F,divorciado,NO,SI,joven
190,40,M,soltero,SI,NO,muyMayor
150,30,F,viudo,NO,SI,joven
150,30,M,viudo,SI,SI,joven
210,45,M,viudo,NO,SI,anciano
170,35,F,viudo,NO,SI,joven
170,35,F,viudo,SI,NO,joven
170,35,F,soltero,NO,SI,mayor
190,40,F,divorciado,NO,NO,muyMayor
210,45,F,soltero,SI,SI,anciano
190,40,F,casado,NO,NO,muyMayor
170,35,F,casado,NO,NO,mayor
170,35,M,casado,SI,SI,mayor
170,35,M,viudo,SI,SI,joven
150,30,M,divorciado,SI,NO,joven
150,30,M,casado,SI,SI,joven
210,45,M,soltero,NO,NO,anciano
190,40,M,divorciado,SI,NO,muyMayor
210,45,M,soltero,NO,NO,anciano
190,40,M,soltero,NO,NO,muyMayor
170,35,F,casado,SI,NO,mayor
210,45,F,divorciado,SI,NO,anciano
190,40,M,casado,NO,NO,anciano
190,40,F,soltero,NO,SI,muyMayor
150,30,F,casado,NO,SI,joven
170,35,M,casado,NO,NO,mayor
170,35,F,divorciado,SI,SI,joven
190,40,M,casado,SI,NO,anciano
190,40,M,soltero,NO,SI,mayor
190,40,F,casado,SI,SI,muyMayor
190,40,M,divorciado,SI,SI,muyMayor
170,35,F,divorciado,NO,NO,mayor
170,35,M,casado,SI,NO,mayor
170,35,F,soltero,NO,SI,mayor
190,40,F,viudo,SI,SI,muyMayor
170,35,M,casado,NO,SI,joven
210,45,M,viudo,SI,NO,anciano
190,40,M,divorciado,SI,SI,anciano
190,40,M,casado,SI,SI,muyMayor
190,40,M,viudo,NO,SI,muyMayor
210,45,F,casado,SI,SI,anciano
190,40,M,soltero,SI,SI,muyMayor
170,35,F,viudo,SI,SI,mayor
150,30,M,casado,SI,SI,joven
190,40,F,viudo,SI,NO,muyMayor
170,35,M,casado,NO,NO,mayor
170,35,F,viudo,NO,NO,mayor
170,35,M,soltero,NO,SI,joven
170,35,M,viudo,SI,NO,joven
190,40,F,viudo,NO,SI,muyMayor
150,30,F,divorciado,NO,NO,joven
190,40,M,divorciado,NO,SI,muyMayor
170,35,M,casado,SI,NO,mayor
210,45,M,viudo,NO,NO,anciano
210,45,F,divorciado,NO,NO,anciano
190,40,F,divorciado,SI,NO,muyMayor
170,35,M,soltero,SI,NO,mayor
190,40,F,divorciado,NO,NO,muyMayor
190,40,F,divorciado,SI,SI,muyMayor
170,35,M,casado,NO,SI,joven
150,30,F,divorciado,SI,SI,joven
170,35,M,casado,NO,NO,mayor
170,35,F,divorciado,NO,NO,mayor
170,35,F,viudo,SI,NO,mayor
190,40,F,soltero,NO,NO,mayor
